"id","scientificName","sourceName","fos","ter","aqu","arb","diet_leaves","diet_flowers","diet_seed","diet_fruit","diet_inv","diet_vert","diurnal","nocturnal","crepuscular","wet_warm","wet_cold","dry_warm","dry_cold","bodymass_value","age_at_maturity_min_y","age_at_maturity_max_y","body_size_mm","size_at_maturity_min_mm","size_at_maturity_max_mm","longevity_max_y","litter_size_min_n","litter_size_max_n","reproductive_output_y","offspring_size_min_mm","offspring_size_max_mm","dir","lar","viv"
"ITIS:1095625","Heleophryne depressa","Heleophryne depressa",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:662332","Heleophryne hewitti","Heleophryne hewitti",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,93,200,1,NA,NA,0,1,0
"ITIS:662333","Heleophryne orientalis","Heleophryne orientalis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:208066","Heleophryne purcelli","Heleophryne purcelli",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,50,208,1,3.8,3.8,0,1,0
"ITIS:662334","Heleophryne regis","Heleophryne regis",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,1,3.6,3.6,0,1,0
"ITIS:662335","Heleophryne rosei","Heleophryne rosei",NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,1,NA,NA,0,1,0
"ITIS:662345","Cryptobatrachus boulengeri","Cryptobatrachus boulengeri",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,53.8,NA,NA,NA,NA,NA,1,4,4,1,0,0
"ITIS:774207","Cryptobatrachus conditus","Cryptobatrachus conditus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITIS:207350","Cryptobatrachus fuhrmanni","Cryptobatrachus fuhrmanni",NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,73,NA,NA,NA,16,33,1,4,7,1,0,0
"ITIS:774208","Cryptobatrachus pedroruizi","Cryptobatrachus pedroruizi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,72.7,NA,NA,NA,21,38,NA,NA,NA,NA,NA,NA
