"id","sourceName","scientificName","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_5cat","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","nocturnal","bodymass_value"
"ITIS:560683","Lamprotornis ornatus","Lamprotornis ornatus",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,50,50,0,0,0,0,0,130
"ITIS:560672","Lamprotornis australis","Lamprotornis australis",30,10,0,0,0,0,40,0,0,20,"Omnivore",0,0,90,10,0,0,0,0,0,101.05
"ITIS:560681","Lamprotornis mevesii","Lamprotornis mevesii",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,80,0,20,0,0,0,0,64.19
"ITIS:560673","Lamprotornis caudatus","Lamprotornis caudatus",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,80,0,20,0,0,0,0,121
"ITIS:915893","Lamprotornis purpuroptera","Lamprotornis purpuroptera",0,0,0,0,100,0,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,0,77.41
"ITIS:560690","Lamprotornis superbus","Lamprotornis superbus",30,0,0,0,60,0,10,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,0,64.9
"ITIS:560684","Lamprotornis pulcher","Lamprotornis pulcher",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,100,0,0,0,0,0,0,67.29
"ITIS:560688","Lamprotornis shelleyi","Lamprotornis shelleyi",60,0,0,0,0,0,40,0,0,0,"Invertebrate",0,0,20,40,40,0,0,0,0,45
"ITIS:560680","Lamprotornis hildebrandti","Lamprotornis hildebrandti",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,55.89
"ITIS:915901","Cinnyricinclus sharpii","Cinnyricinclus sharpii",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,0,0,0,100,0,0,0,41
"ITIS:915902","Cinnyricinclus femoralis","Cinnyricinclus femoralis",50,0,0,0,0,0,50,0,0,0,"Omnivore",0,0,0,0,60,40,0,0,0,45.87
"ITIS:559294","Cinnyricinclus leucogaster","Cinnyricinclus leucogaster",20,0,0,0,0,0,80,0,0,0,"FruiNect",0,0,0,0,60,40,0,0,0,44
"ITIS:563042","Speculipastor bicolor","Speculipastor bicolor",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,33,33,33,0,0,0,0,64.16
"ITIS:561564","Neocichla gutturalis","Neocichla gutturalis",60,0,0,0,0,0,40,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,66.7
"ITIS:915896","Spreo fischeri","Spreo fischeri",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,51
"ITIS:915897","Spreo bicolor","Spreo bicolor",40,0,0,0,0,10,30,10,0,10,"Omnivore",0,0,100,0,0,0,0,0,0,104
"ITIS:915898","Spreo albicapillus","Spreo albicapillus",50,0,0,0,0,0,30,0,20,0,"Omnivore",0,0,100,0,0,0,0,0,0,76.75
"ITIS:915894","Cosmopsarus regius","Cosmopsarus regius",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,100,0,0,0,0,0,0,53.83
"ITIS:915895","Cosmopsarus unicolor","Cosmopsarus unicolor",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,50,50,0,0,0,0,0,60.24
"ITIS:915899","Saroglossa aurata","Saroglossa aurata",20,0,0,0,0,0,60,20,0,0,"FruiNect",0,0,0,33,33,33,0,0,0,40.5
"ITIS:562826","Saroglossa spiloptera","Saroglossa spiloptera",30,0,0,0,0,0,40,30,0,0,"FruiNect",0,0,0,40,40,20,0,0,0,47.5
"ITIS:559581","Creatophora cinerea","Creatophora cinerea",60,0,0,0,0,0,30,10,0,0,"Invertebrate",0,0,33,33,33,0,0,0,0,73.03
"ITIS:915883","Sturnus malabaricus","Sturnus malabaricus",30,0,0,0,0,0,40,10,10,10,"Omnivore",0,0,10,20,30,40,0,0,0,39.6
"ITIS:915884","Sturnus erythropygius","Sturnus erythropygius",30,0,0,0,0,0,40,30,0,0,"FruiNect",0,0,0,50,50,0,0,0,0,81.72
"ITIS:915886","Sturnus pagodarum","Sturnus pagodarum",30,0,0,0,0,0,20,20,0,30,"Omnivore",0,0,50,0,0,50,0,0,0,48.9
"ITIS:915876","Sturnus sericeus","Sturnus sericeus",40,0,0,0,0,0,60,0,0,0,"FruiNect",0,0,40,20,20,20,0,0,0,81.72
"ITIS:915880","Sturnus sturninus","Sturnus sturninus",60,0,0,0,0,0,20,0,20,0,"Invertebrate",0,0,100,0,0,0,0,0,0,49.4
